scale_of_number_of_assets;scale_of_quantity_of_assets;scale_of_allocation_weights;rebalance_kind;scale_of_rebalance_amount;investment_portfolio_id;rebalance_order_id;rebalance_id;current_variation_percentage_total_sum;projected_variation_percentage_total_sum;variation_percentage_reduction;execution_time_in_seconds
2..50;201..250;random;default_rebalance_with_deposit;67..99;5517;6863;6594;1422,55;0,0;100,0;0,13
2..50;201..250;random;default_rebalance_with_deposit;100..200;5517;6864;6595;1422,55;0,0;100,0;0,13
2..50;201..250;random;default_rebalance_with_withdrawal;1..33;5517;6865;6596;1422,55;0,0;100,0;0,12
2..50;201..250;random;default_rebalance_with_withdrawal;34..66;5517;6866;6597;1422,55;0,0;100,0;0,13
2..50;201..250;random;default_rebalance_with_withdrawal;67..99;5517;6867;6598;1422,55;0,0;100,0;0,13
2..50;201..250;random;contribution_rebalance;1..33;5517;6868;6599;1422,55;1052,94;25,98;0,15
2..50;201..250;random;contribution_rebalance;34..66;5517;6869;6600;1422,55;672,5;52,72;0,15
2..50;201..250;random;contribution_rebalance;67..99;5517;6870;6601;1422,55;460,58;67,62;0,14
2..50;201..250;random;contribution_rebalance;100..200;5517;6871;6602;1422,55;335,91;76,38;0,14
51..100;2..50;random;default_rebalance;-;5518;6872;6603;20964,47;0,0;100,0;0,72
51..100;2..50;random;default_rebalance_with_deposit;1..33;5518;6873;6604;20964,47;0,0;100,0;0,76
51..100;2..50;random;default_rebalance_with_deposit;34..66;5518;6874;6605;20964,47;0,0;100,0;0,72
51..100;2..50;random;default_rebalance_with_deposit;67..99;5518;6875;6606;20964,47;0,0;100,0;0,75
51..100;2..50;random;default_rebalance_with_deposit;100..200;5518;6876;6607;20964,47;0,0;100,0;0,71
51..100;2..50;random;default_rebalance_with_withdrawal;1..33;5518;6877;6608;20964,47;0,0;100,0;0,74
51..100;2..50;random;default_rebalance_with_withdrawal;34..66;5518;6878;6609;20964,47;0,0;100,0;1,5
51..100;2..50;random;default_rebalance_with_withdrawal;67..99;5518;6879;6610;20964,47;0,0;100,0;1,53
51..100;2..50;random;contribution_rebalance;1..33;5518;6880;6611;20964,47;18095,06;13,68;1,17
51..100;2..50;random;contribution_rebalance;34..66;5518;6881;6612;20964,47;13271,07;36,69;0,77
51..100;2..50;random;contribution_rebalance;67..99;5518;6882;6613;20964,47;10424,32;50,27;0,75
51..100;2..50;random;contribution_rebalance;100..200;5518;6883;6614;20964,47;6918,97;66,99;0,77
51..100;51..100;random;default_rebalance;-;5519;6884;6615;21307,11;0,0;100,0;0,93
51..100;51..100;random;default_rebalance_with_deposit;1..33;5519;6885;6616;21307,11;0,0;100,0;0,93
51..100;51..100;random;default_rebalance_with_deposit;34..66;5519;6886;6617;21307,11;0,0;100,0;0,95
