scale_of_number_of_assets;scale_of_quantity_of_assets;scale_of_allocation_weights;rebalance_kind;scale_of_rebalance_amount;investment_portfolio_id;rebalance_order_id;rebalance_id;current_variation_percentage_total_sum;projected_variation_percentage_total_sum;variation_percentage_reduction;execution_time_in_seconds
201..250;51..100;random;contribution_rebalance;67..99;5534;7074;6805;67739,58;30671,84;54,72;4,17
201..250;51..100;random;contribution_rebalance;100..200;5534;7075;6806;67739,58;30312,77;55,25;2,24
201..250;101..150;random;default_rebalance;-;5535;7076;6807;73135,93;0,0;100,0;2,28
201..250;101..150;random;default_rebalance_with_deposit;1..33;5535;7077;6808;73135,93;0,0;100,0;2,54
201..250;101..150;random;default_rebalance_with_deposit;34..66;5535;7078;6809;73135,93;0,0;100,0;4,72
201..250;101..150;random;default_rebalance_with_deposit;67..99;5535;7079;6810;73135,93;0,0;100,0;3,12
201..250;101..150;random;default_rebalance_with_deposit;100..200;5535;7080;6811;73135,93;0,0;100,0;2,22
201..250;101..150;random;default_rebalance_with_withdrawal;1..33;5535;7081;6812;73135,93;0,0;100,0;4,35
201..250;101..150;random;default_rebalance_with_withdrawal;34..66;5535;7082;6813;73135,93;0,0;100,0;2,31
201..250;101..150;random;default_rebalance_with_withdrawal;67..99;5535;7083;6814;73135,93;0,0;100,0;3,79
201..250;101..150;random;contribution_rebalance;1..33;5535;7084;6815;73135,93;55144,58;24,59;2,52
201..250;101..150;random;contribution_rebalance;34..66;5535;7085;6816;73135,93;44530,88;39,11;2,53
201..250;101..150;random;contribution_rebalance;67..99;5535;7086;6817;73135,93;36207,67;50,49;4,92
201..250;101..150;random;contribution_rebalance;100..200;5535;7087;6818;73135,93;23090,57;68,42;3,34
201..250;151..200;random;default_rebalance;-;5536;7088;6819;49543,46;0,0;100,0;3,45
201..250;151..200;random;default_rebalance_with_deposit;1..33;5536;7089;6820;49543,46;0,0;100,0;2,28
201..250;151..200;random;default_rebalance_with_deposit;34..66;5536;7090;6821;49543,46;0,0;100,0;4,76
201..250;151..200;random;default_rebalance_with_deposit;67..99;5536;7091;6822;49543,46;0,0;100,0;4,0
201..250;151..200;random;default_rebalance_with_deposit;100..200;5536;7092;6823;49543,46;0,0;100,0;2,25
201..250;151..200;random;default_rebalance_with_withdrawal;1..33;5536;7093;6824;49543,46;0,0;100,0;4,21
201..250;151..200;random;default_rebalance_with_withdrawal;34..66;5536;7094;6825;49543,46;0,0;100,0;4,46
201..250;151..200;random;default_rebalance_with_withdrawal;67..99;5536;7095;6826;49543,46;0,0;100,0;2,3
201..250;151..200;random;contribution_rebalance;1..33;5536;7096;6827;49543,46;35496,69;28,35;4,03
201..250;151..200;random;contribution_rebalance;34..66;5536;7097;6828;49543,46;30486,9;38,46;2,51
201..250;151..200;random;contribution_rebalance;67..99;5536;7098;6829;49543,46;22608,58;54,36;3,3
201..250;151..200;random;contribution_rebalance;100..200;5536;7099;6830;49543,46;11597,51;76,59;4,92
201..250;201..250;random;default_rebalance;-;5537;7100;6831;49952,35;0,0;100,0;3,35
201..250;201..250;random;default_rebalance_with_deposit;1..33;5537;7101;6832;49952,35;0,0;100,0;3,28
201..250;201..250;random;default_rebalance_with_deposit;34..66;5537;7102;6833;49952,35;0,0;100,0;2,69
201..250;201..250;random;default_rebalance_with_deposit;67..99;5537;7103;6834;49952,35;0,0;100,0;4,01
201..250;201..250;random;default_rebalance_with_deposit;100..200;5537;7104;6835;49952,35;0,0;100,0;2,33
201..250;201..250;random;default_rebalance_with_withdrawal;1..33;5537;7105;6836;49952,35;0,0;100,0;4,67
201..250;201..250;random;default_rebalance_with_withdrawal;34..66;5537;7106;6837;49952,35;0,0;100,0;2,36
201..250;201..250;random;default_rebalance_with_withdrawal;67..99;5537;7107;6838;49952,35;0,0;100,0;3,78
201..250;201..250;random;contribution_rebalance;1..33;5537;7108;6839;49952,35;38829,99;22,26;2,72
201..250;201..250;random;contribution_rebalance;34..66;5537;7109;6840;49952,35;27030,3;45,88;3,12
201..250;201..250;random;contribution_rebalance;67..99;5537;7110;6841;49952,35;26410,28;47,12;3,46
201..250;201..250;random;contribution_rebalance;100..200;5537;7111;6842;49952,35;13529,23;72,91;2,58
2..50;2..50;uniform;default_rebalance;-;5538;7112;6843;3593,26;0,0;100,0;0,83
2..50;2..50;uniform;default_rebalance_with_deposit;1..33;5538;7113;6844;3593,26;0,0;100,0;0,84
2..50;2..50;uniform;default_rebalance_with_deposit;34..66;5538;7114;6845;3593,26;0,0;100,0;0,51
2..50;2..50;uniform;default_rebalance_with_deposit;67..99;5538;7115;6846;3593,26;0,0;100,0;0,37
2..50;2..50;uniform;default_rebalance_with_deposit;100..200;5538;7116;6847;3593,26;0,0;100,0;0,38
2..50;2..50;uniform;default_rebalance_with_withdrawal;1..33;5538;7117;6848;3593,26;0,0;100,0;0,39
2..50;2..50;uniform;default_rebalance_with_withdrawal;34..66;5538;7118;6849;3593,26;0,0;100,0;0,37
2..50;2..50;uniform;default_rebalance_with_withdrawal;67..99;5538;7119;6850;3593,26;0,0;100,0;0,39
2..50;2..50;uniform;contribution_rebalance;1..33;5538;7120;6851;3593,26;3531,94;1,7;0,39
2..50;2..50;uniform;contribution_rebalance;34..66;5538;7121;6852;3593,26;1564,48;56,46;0,39
2..50;2..50;uniform;contribution_rebalance;67..99;5538;7122;6853;3593,26;1062,3;70,43;0,39
2..50;2..50;uniform;contribution_rebalance;100..200;5538;7123;6854;3593,26;537,45;85,04;0,63
2..50;51..100;uniform;default_rebalance;-;5539;7124;6855;4630,05;0,0;100,0;0,93
2..50;51..100;uniform;default_rebalance_with_deposit;1..33;5539;7125;6856;4630,05;0,0;100,0;0,92
2..50;51..100;uniform;default_rebalance_with_deposit;34..66;5539;7126;6857;4630,05;0,0;100,0;0,68
2..50;51..100;uniform;default_rebalance_with_deposit;67..99;5539;7127;6858;4630,05;0,0;100,0;0,48
2..50;51..100;uniform;default_rebalance_with_deposit;100..200;5539;7128;6859;4630,05;0,0;100,0;0,44
2..50;51..100;uniform;default_rebalance_with_withdrawal;1..33;5539;7129;6860;4630,05;0,0;100,0;0,45
2..50;51..100;uniform;default_rebalance_with_withdrawal;34..66;5539;7130;6861;4630,05;0,0;100,0;0,43
2..50;51..100;uniform;default_rebalance_with_withdrawal;67..99;5539;7131;6862;4630,05;0,0;100,0;0,43
2..50;51..100;uniform;contribution_rebalance;1..33;5539;7132;6863;4630,05;3490,07;24,62;0,45
2..50;51..100;uniform;contribution_rebalance;34..66;5539;7133;6864;4630,05;2392,5;48,32;0,43
2..50;51..100;uniform;contribution_rebalance;67..99;5539;7134;6865;4630,05;1743,66;62,34;0,65
2..50;51..100;uniform;contribution_rebalance;100..200;5539;7135;6866;4630,05;1382,18;70,14;0,94
2..50;101..150;uniform;default_rebalance;-;5540;7136;6867;2061,8;0,0;100,0;0,4
2..50;101..150;uniform;default_rebalance_with_deposit;1..33;5540;7137;6868;2061,8;0,0;100,0;0,4
2..50;101..150;uniform;default_rebalance_with_deposit;34..66;5540;7138;6869;2061,8;0,0;100,0;0,48
2..50;101..150;uniform;default_rebalance_with_deposit;67..99;5540;7139;6870;2061,8;0,0;100,0;0,37
2..50;101..150;uniform;default_rebalance_with_deposit;100..200;5540;7140;6871;2061,8;0,0;100,0;0,25
2..50;101..150;uniform;default_rebalance_with_withdrawal;1..33;5540;7141;6872;2061,8;0,0;100,0;0,19
2..50;101..150;uniform;default_rebalance_with_withdrawal;34..66;5540;7142;6873;2061,8;0,0;100,0;0,17
2..50;101..150;uniform;default_rebalance_with_withdrawal;67..99;5540;7143;6874;2061,8;0,0;100,0;0,18
2..50;101..150;uniform;contribution_rebalance;1..33;5540;7144;6875;2061,8;1626,16;21,12;0,18
2..50;101..150;uniform;contribution_rebalance;34..66;5540;7145;6876;2061,8;1383,0;32,92;0,16
2..50;101..150;uniform;contribution_rebalance;67..99;5540;7146;6877;2061,8;917,88;55,48;0,18
2..50;101..150;uniform;contribution_rebalance;100..200;5540;7147;6878;2061,8;808,67;60,77;0,17
2..50;151..200;uniform;default_rebalance;-;5541;7148;6879;1582,05;0,0;100,0;0,15
2..50;151..200;uniform;default_rebalance_with_deposit;1..33;5541;7149;6880;1582,05;0,0;100,0;0,16
2..50;151..200;uniform;default_rebalance_with_deposit;34..66;5541;7150;6881;1582,05;0,0;100,0;0,15
2..50;151..200;uniform;default_rebalance_with_deposit;67..99;5541;7151;6882;1582,05;0,0;100,0;0,16
2..50;151..200;uniform;default_rebalance_with_deposit;100..200;5541;7152;6883;1582,05;0,0;100,0;0,16
2..50;151..200;uniform;default_rebalance_with_withdrawal;1..33;5541;7153;6884;1582,05;0,0;100,0;0,15
2..50;151..200;uniform;default_rebalance_with_withdrawal;34..66;5541;7154;6885;1582,05;0,0;100,0;0,15
2..50;151..200;uniform;default_rebalance_with_withdrawal;67..99;5541;7155;6886;1582,05;0,0;100,0;0,15
2..50;151..200;uniform;contribution_rebalance;1..33;5541;7156;6887;1582,05;1362,13;13,9;0,16
2..50;151..200;uniform;contribution_rebalance;34..66;5541;7157;6888;1582,05;650,2;58,9;0,16
2..50;151..200;uniform;contribution_rebalance;67..99;5541;7158;6889;1582,05;506,75;67,96;0,16
2..50;151..200;uniform;contribution_rebalance;100..200;5541;7159;6890;1582,05;330,63;79,1;0,17
2..50;201..250;uniform;default_rebalance;-;5542;7160;6891;2440,99;0,0;100,0;0,56
2..50;201..250;uniform;default_rebalance_with_deposit;1..33;5542;7161;6892;2440,99;0,0;100,0;0,61
2..50;201..250;uniform;default_rebalance_with_deposit;34..66;5542;7162;6893;2440,99;0,0;100,0;0,56
2..50;201..250;uniform;default_rebalance_with_deposit;67..99;5542;7163;6894;2440,99;0,0;100,0;0,61
2..50;201..250;uniform;default_rebalance_with_deposit;100..200;5542;7164;6895;2440,99;0,0;100,0;0,56
2..50;201..250;uniform;default_rebalance_with_withdrawal;1..33;5542;7165;6896;2440,99;0,0;100,0;0,56
2..50;201..250;uniform;default_rebalance_with_withdrawal;34..66;5542;7166;6897;2440,99;0,0;100,0;0,58
2..50;201..250;uniform;default_rebalance_with_withdrawal;67..99;5542;7167;6898;2440,99;0,0;100,0;0,6
2..50;201..250;uniform;contribution_rebalance;1..33;5542;7168;6899;2440,99;2056,85;15,73;0,59
2..50;201..250;uniform;contribution_rebalance;34..66;5542;7169;6900;2440,99;1038,29;57,46;0,6
2..50;201..250;uniform;contribution_rebalance;67..99;5542;7170;6901;2440,99;772,75;68,34;0,59
2..50;201..250;uniform;contribution_rebalance;100..200;5542;7171;6902;2440,99;206,27;91,54;0,39
51..100;2..50;uniform;default_rebalance;-;5543;7172;6903;10664,65;0,0;100,0;0,94
51..100;2..50;uniform;default_rebalance_with_deposit;1..33;5543;7173;6904;10664,65;0,0;100,0;0,93
51..100;2..50;uniform;default_rebalance_with_deposit;34..66;5543;7174;6905;10664,65;0,0;100,0;1,15
51..100;2..50;uniform;default_rebalance_with_deposit;67..99;5543;7175;6906;10664,65;0,0;100,0;2,15
51..100;2..50;uniform;default_rebalance_with_deposit;100..200;5543;7176;6907;10664,65;0,0;100,0;2,01
51..100;2..50;uniform;default_rebalance_with_withdrawal;1..33;5543;7177;6908;10664,65;0,0;100,0;2,07
51..100;2..50;uniform;default_rebalance_with_withdrawal;34..66;5543;7178;6909;10664,65;0,0;100,0;1,3
51..100;2..50;uniform;default_rebalance_with_withdrawal;67..99;5543;7179;6910;10664,65;0,0;100,0;0,96
51..100;2..50;uniform;contribution_rebalance;1..33;5543;7180;6911;10664,65;7711,61;27,68;0,94
51..100;2..50;uniform;contribution_rebalance;34..66;5543;7181;6912;10664,65;5789,88;45,7;0,98
51..100;2..50;uniform;contribution_rebalance;67..99;5543;7182;6913;10664,65;4276,71;59,89;2,07
51..100;2..50;uniform;contribution_rebalance;100..200;5543;7183;6914;10664,65;2416,64;77,33;2,0
51..100;51..100;uniform;default_rebalance;-;5544;7184;6915;7407,78;0,0;100,0;0,67
51..100;51..100;uniform;default_rebalance_with_deposit;1..33;5544;7185;6916;7407,78;0,0;100,0;0,64
51..100;51..100;uniform;default_rebalance_with_deposit;34..66;5544;7186;6917;7407,78;0,0;100,0;0,66
51..100;51..100;uniform;default_rebalance_with_deposit;67..99;5544;7187;6918;7407,78;0,0;100,0;0,62
51..100;51..100;uniform;default_rebalance_with_deposit;100..200;5544;7188;6919;7407,78;0,0;100,0;1,24
51..100;51..100;uniform;default_rebalance_with_withdrawal;1..33;5544;7189;6920;7407,78;0,0;100,0;1,4
51..100;51..100;uniform;default_rebalance_with_withdrawal;34..66;5544;7190;6921;7407,78;0,0;100,0;1,43
51..100;51..100;uniform;default_rebalance_with_withdrawal;67..99;5544;7191;6922;7407,78;0,0;100,0;0,64
51..100;51..100;uniform;contribution_rebalance;1..33;5544;7192;6923;7407,78;6879,05;7,13;0,63
51..100;51..100;uniform;contribution_rebalance;34..66;5544;7193;6924;7407,78;4183,97;43,51;0,65
51..100;51..100;uniform;contribution_rebalance;67..99;5544;7194;6925;7407,78;2918,95;60,59;0,64
51..100;51..100;uniform;contribution_rebalance;100..200;5544;7195;6926;7407,78;2202,15;70,27;0,67
51..100;101..150;uniform;default_rebalance;-;5545;7196;6927;7645,65;0,0;100,0;1,6
51..100;101..150;uniform;default_rebalance_with_deposit;1..33;5545;7197;6928;7645,65;0,0;100,0;1,28
51..100;101..150;uniform;default_rebalance_with_deposit;34..66;5545;7198;6929;7645,65;0,0;100,0;0,77
51..100;101..150;uniform;default_rebalance_with_deposit;67..99;5545;7199;6930;7645,65;0,0;100,0;0,76
51..100;101..150;uniform;default_rebalance_with_deposit;100..200;5545;7200;6931;7645,65;0,0;100,0;0,76
51..100;101..150;uniform;default_rebalance_with_withdrawal;1..33;5545;7201;6932;7645,65;0,0;100,0;0,75
51..100;101..150;uniform;default_rebalance_with_withdrawal;34..66;5545;7202;6933;7645,65;0,0;100,0;1,39
51..100;101..150;uniform;default_rebalance_with_withdrawal;67..99;5545;7203;6934;7645,65;0,0;100,0;1,64
51..100;101..150;uniform;contribution_rebalance;1..33;5545;7204;6935;7645,65;5473,6;28,4;1,24
51..100;101..150;uniform;contribution_rebalance;34..66;5545;7205;6936;7645,65;3800,85;50,28;0,77
51..100;101..150;uniform;contribution_rebalance;67..99;5545;7206;6937;7645,65;2858,57;62,61;0,78
51..100;101..150;uniform;contribution_rebalance;100..200;5545;7207;6938;7645,65;2480,07;67,56;0,76
51..100;151..200;uniform;default_rebalance;-;5546;7208;6939;8396,19;0,0;100,0;1,35
51..100;151..200;uniform;default_rebalance_with_deposit;1..33;5546;7209;6940;8396,19;0,0;100,0;1,5
51..100;151..200;uniform;default_rebalance_with_deposit;34..66;5546;7210;6941;8396,19;0,0;100,0;1,25
51..100;151..200;uniform;default_rebalance_with_deposit;67..99;5546;7211;6942;8396,19;0,0;100,0;0,7
51..100;151..200;uniform;default_rebalance_with_deposit;100..200;5546;7212;6943;8396,19;0,0;100,0;0,71
51..100;151..200;uniform;default_rebalance_with_withdrawal;1..33;5546;7213;6944;8396,19;0,0;100,0;0,77
51..100;151..200;uniform;default_rebalance_with_withdrawal;34..66;5546;7214;6945;8396,19;0,0;100,0;0,7
51..100;151..200;uniform;default_rebalance_with_withdrawal;67..99;5546;7215;6946;8396,19;0,0;100,0;0,83
51..100;151..200;uniform;contribution_rebalance;1..33;5546;7216;6947;8396,19;5830,57;30,55;1,51
51..100;151..200;uniform;contribution_rebalance;34..66;5546;7217;6948;8396,19;5283,16;37,07;1,52
51..100;151..200;uniform;contribution_rebalance;67..99;5546;7218;6949;8396,19;3198,12;61,9;0,8
51..100;151..200;uniform;contribution_rebalance;100..200;5546;7219;6950;8396,19;1649,74;80,35;0,71
51..100;201..250;uniform;default_rebalance;-;5547;7220;6951;6903,55;0,0;100,0;0,76
51..100;201..250;uniform;default_rebalance_with_deposit;1..33;5547;7221;6952;6903,55;0,0;100,0;0,72
51..100;201..250;uniform;default_rebalance_with_deposit;34..66;5547;7222;6953;6903,55;0,0;100,0;1,52
51..100;201..250;uniform;default_rebalance_with_deposit;67..99;5547;7223;6954;6903,55;0,0;100,0;1,52
51..100;201..250;uniform;default_rebalance_with_deposit;100..200;5547;7224;6955;6903,55;0,0;100,0;1,03
51..100;201..250;uniform;default_rebalance_with_withdrawal;1..33;5547;7225;6956;6903,55;0,0;100,0;0,72
51..100;201..250;uniform;default_rebalance_with_withdrawal;34..66;5547;7226;6957;6903,55;0,0;100,0;0,73
51..100;201..250;uniform;default_rebalance_with_withdrawal;67..99;5547;7227;6958;6903,55;0,0;100,0;0,79
51..100;201..250;uniform;contribution_rebalance;1..33;5547;7228;6959;6903,55;6792,81;1,6;0,73
51..100;201..250;uniform;contribution_rebalance;34..66;5547;7229;6960;6903,55;3643,67;47,22;1,34
51..100;201..250;uniform;contribution_rebalance;67..99;5547;7230;6961;6903,55;2585,44;62,54;1,53
51..100;201..250;uniform;contribution_rebalance;100..200;5547;7231;6962;6903,55;1437,44;79,17;1,33
101..150;2..50;uniform;default_rebalance;-;5548;7232;6963;9661,37;0,0;100,0;0,94
101..150;2..50;uniform;default_rebalance_with_deposit;1..33;5548;7233;6964;9661,37;0,0;100,0;0,9
101..150;2..50;uniform;default_rebalance_with_deposit;34..66;5548;7234;6965;9661,37;0,0;100,0;1,38
101..150;2..50;uniform;default_rebalance_with_deposit;67..99;5548;7235;6966;9661,37;0,0;100,0;2,04
101..150;2..50;uniform;default_rebalance_with_deposit;100..200;5548;7236;6967;9661,37;0,0;100,0;1,28
101..150;2..50;uniform;default_rebalance_with_withdrawal;1..33;5548;7237;6968;9661,37;0,0;100,0;0,91
101..150;2..50;uniform;default_rebalance_with_withdrawal;34..66;5548;7238;6969;9661,37;0,0;100,0;0,92
101..150;2..50;uniform;default_rebalance_with_withdrawal;67..99;5548;7239;6970;9661,37;0,0;100,0;0,92
101..150;2..50;uniform;contribution_rebalance;1..33;5548;7240;6971;9661,37;6567,85;32,01;1,74
101..150;2..50;uniform;contribution_rebalance;34..66;5548;7241;6972;9661,37;4655,35;51,81;2,03
101..150;2..50;uniform;contribution_rebalance;67..99;5548;7242;6973;9661,37;3750,57;61,17;0,91
101..150;2..50;uniform;contribution_rebalance;100..200;5548;7243;6974;9661,37;1563,75;83,81;0,93
101..150;51..100;uniform;default_rebalance;-;5549;7244;6975;11408,56;0,0;100,0;1,8
101..150;51..100;uniform;default_rebalance_with_deposit;1..33;5549;7245;6976;11408,56;0,0;100,0;2,43
101..150;51..100;uniform;default_rebalance_with_deposit;34..66;5549;7246;6977;11408,56;0,0;100,0;1,18
101..150;51..100;uniform;default_rebalance_with_deposit;67..99;5549;7247;6978;11408,56;0,0;100,0;1,18
101..150;51..100;uniform;default_rebalance_with_deposit;100..200;5549;7248;6979;11408,56;0,0;100,0;1,17
101..150;51..100;uniform;default_rebalance_with_withdrawal;1..33;5549;7249;6980;11408,56;0,0;100,0;2,28
101..150;51..100;uniform;default_rebalance_with_withdrawal;34..66;5549;7250;6981;11408,56;0,0;100,0;2,49
101..150;51..100;uniform;default_rebalance_with_withdrawal;67..99;5549;7251;6982;11408,56;0,0;100,0;2,45
101..150;51..100;uniform;contribution_rebalance;1..33;5549;7252;6983;11408,56;7092,8;37,82;1,35
101..150;51..100;uniform;contribution_rebalance;34..66;5549;7253;6984;11408,56;5082,71;55,44;1,15
101..150;51..100;uniform;contribution_rebalance;67..99;5549;7254;6985;11408,56;3828,23;66,44;1,15
101..150;51..100;uniform;contribution_rebalance;100..200;5549;7255;6986;11408,56;1762,88;84,54;1,97
101..150;101..150;uniform;default_rebalance;-;5550;7256;6987;14217,02;0,0;100,0;1,3
101..150;101..150;uniform;default_rebalance_with_deposit;1..33;5550;7257;6988;14217,02;0,0;100,0;1,17
101..150;101..150;uniform;default_rebalance_with_deposit;34..66;5550;7258;6989;14217,02;0,0;100,0;1,22
101..150;101..150;uniform;default_rebalance_with_deposit;67..99;5550;7259;6990;14217,02;0,0;100,0;2,52
101..150;101..150;uniform;default_rebalance_with_deposit;100..200;5550;7260;6991;14217,02;0,0;100,0;1,73
101..150;101..150;uniform;default_rebalance_with_withdrawal;1..33;5550;7261;6992;14217,02;0,0;100,0;1,3
101..150;101..150;uniform;default_rebalance_with_withdrawal;34..66;5550;7262;6993;14217,02;0,0;100,0;1,31
101..150;101..150;uniform;default_rebalance_with_withdrawal;67..99;5550;7263;6994;14217,02;0,0;100,0;2,43
101..150;101..150;uniform;contribution_rebalance;1..33;5550;7264;6995;14217,02;10002,83;29,64;2,25
101..150;101..150;uniform;contribution_rebalance;34..66;5550;7265;6996;14217,02;7940,9;44,14;1,19
101..150;101..150;uniform;contribution_rebalance;67..99;5550;7266;6997;14217,02;6367,68;55,21;1,24
101..150;101..150;uniform;contribution_rebalance;100..200;5550;7267;6998;14217,02;4370,92;69,25;1,75
101..150;151..200;uniform;default_rebalance;-;5551;7268;6999;13642,9;0,0;100,0;1,26
101..150;151..200;uniform;default_rebalance_with_deposit;1..33;5551;7269;7000;13642,9;0,0;100,0;1,15
101..150;151..200;uniform;default_rebalance_with_deposit;34..66;5551;7270;7001;13642,9;0,0;100,0;1,17
101..150;151..200;uniform;default_rebalance_with_deposit;67..99;5551;7271;7002;13642,9;0,0;100,0;2,31
101..150;151..200;uniform;default_rebalance_with_deposit;100..200;5551;7272;7003;13642,9;0,0;100,0;2,18
101..150;151..200;uniform;default_rebalance_with_withdrawal;1..33;5551;7273;7004;13642,9;0,0;100,0;1,15
101..150;151..200;uniform;default_rebalance_with_withdrawal;34..66;5551;7274;7005;13642,9;0,0;100,0;1,26
101..150;151..200;uniform;default_rebalance_with_withdrawal;67..99;5551;7275;7006;13642,9;0,0;100,0;1,41
101..150;151..200;uniform;contribution_rebalance;1..33;5551;7276;7007;13642,9;11252,6;17,52;2,56
101..150;151..200;uniform;contribution_rebalance;34..66;5551;7277;7008;13642,9;8699,18;36,23;1,39
101..150;151..200;uniform;contribution_rebalance;67..99;5551;7278;7009;13642,9;6938,63;49,14;1,23
101..150;151..200;uniform;contribution_rebalance;100..200;5551;7279;7010;13642,9;3762,17;72,42;1,17
101..150;201..250;uniform;default_rebalance;-;5552;7280;7011;13221,62;0,0;100,0;2,31
101..150;201..250;uniform;default_rebalance_with_deposit;1..33;5552;7281;7012;13221,62;0,0;100,0;1,04
101..150;201..250;uniform;default_rebalance_with_deposit;34..66;5552;7282;7013;13221,62;0,0;100,0;1,05
101..150;201..250;uniform;default_rebalance_with_deposit;67..99;5552;7283;7014;13221,62;0,0;100,0;1,16
101..150;201..250;uniform;default_rebalance_with_deposit;100..200;5552;7284;7015;13221,62;0,0;100,0;1,91
101..150;201..250;uniform;default_rebalance_with_withdrawal;1..33;5552;7285;7016;13221,62;0,0;100,0;2,32
101..150;201..250;uniform;default_rebalance_with_withdrawal;34..66;5552;7286;7017;13221,62;0,0;100,0;2,22
101..150;201..250;uniform;default_rebalance_with_withdrawal;67..99;5552;7287;7018;13221,62;0,0;100,0;1,91
101..150;201..250;uniform;contribution_rebalance;1..33;5552;7288;7019;13221,62;9743,75;26,3;1,22
101..150;201..250;uniform;contribution_rebalance;34..66;5552;7289;7020;13221,62;9015,29;31,81;1,13
101..150;201..250;uniform;contribution_rebalance;67..99;5552;7290;7021;13221,62;5753,97;56,48;1,46
101..150;201..250;uniform;contribution_rebalance;100..200;5552;7291;7022;13221,62;4674,73;64,64;2,42
151..200;2..50;uniform;default_rebalance;-;5553;7292;7023;18457,21;0,0;100,0;1,37
151..200;2..50;uniform;default_rebalance_with_deposit;1..33;5553;7293;7024;18457,21;0,0;100,0;1,61
151..200;2..50;uniform;default_rebalance_with_deposit;34..66;5553;7294;7025;18457,21;0,0;100,0;2,97
151..200;2..50;uniform;default_rebalance_with_deposit;67..99;5553;7295;7026;18457,21;0,0;100,0;1,5
151..200;2..50;uniform;default_rebalance_with_deposit;100..200;5553;7296;7027;18457,21;0,0;100,0;1,43
151..200;2..50;uniform;default_rebalance_with_withdrawal;1..33;5553;7297;7028;18457,21;0,0;100,0;2,07
151..200;2..50;uniform;default_rebalance_with_withdrawal;34..66;5553;7298;7029;18457,21;0,0;100,0;2,85
151..200;2..50;uniform;default_rebalance_with_withdrawal;67..99;5553;7299;7030;18457,21;0,0;100,0;1,47
151..200;2..50;uniform;contribution_rebalance;1..33;5553;7300;7031;18457,21;17973,66;2,61;1,4
151..200;2..50;uniform;contribution_rebalance;34..66;5553;7301;7032;18457,21;9547,11;48,27;2,49
151..200;2..50;uniform;contribution_rebalance;67..99;5553;7302;7033;18457,21;8493,66;53,98;3,08
151..200;2..50;uniform;contribution_rebalance;100..200;5553;7303;7034;18457,21;5785,83;68,65;2,76
151..200;51..100;uniform;default_rebalance;-;5554;7304;7035;16754,13;0,0;100,0;1,5
151..200;51..100;uniform;default_rebalance_with_deposit;1..33;5554;7305;7036;16754,13;0,0;100,0;2,97
151..200;51..100;uniform;default_rebalance_with_deposit;34..66;5554;7306;7037;16754,13;0,0;100,0;2,03
151..200;51..100;uniform;default_rebalance_with_deposit;67..99;5554;7307;7038;16754,13;0,0;100,0;1,46
151..200;51..100;uniform;default_rebalance_with_deposit;100..200;5554;7308;7039;16754,13;0,0;100,0;1,7
151..200;51..100;uniform;default_rebalance_with_withdrawal;1..33;5554;7309;7040;16754,13;0,0;100,0;3,01
151..200;51..100;uniform;default_rebalance_with_withdrawal;34..66;5554;7310;7041;16754,13;0,0;100,0;1,48
151..200;51..100;uniform;default_rebalance_with_withdrawal;67..99;5554;7311;7042;16754,13;0,0;100,0;1,46
151..200;51..100;uniform;contribution_rebalance;1..33;5554;7312;7043;16754,13;11244,38;32,88;1,51
151..200;51..100;uniform;contribution_rebalance;34..66;5554;7313;7044;16754,13;9036,07;46,06;1,48
151..200;51..100;uniform;contribution_rebalance;67..99;5554;7314;7045;16754,13;6167,82;63,18;1,47
151..200;51..100;uniform;contribution_rebalance;100..200;5554;7315;7046;16754,13;3556,15;78,77;3,22
151..200;101..150;uniform;default_rebalance;-;5555;7316;7047;14759,48;0,0;100,0;1,46
151..200;101..150;uniform;default_rebalance_with_deposit;1..33;5555;7317;7048;14759,48;0,0;100,0;2,27
151..200;101..150;uniform;default_rebalance_with_deposit;34..66;5555;7318;7049;14759,48;0,0;100,0;2,77
151..200;101..150;uniform;default_rebalance_with_deposit;67..99;5555;7319;7050;14759,48;0,0;100,0;1,5
151..200;101..150;uniform;default_rebalance_with_deposit;100..200;5555;7320;7051;14759,48;0,0;100,0;1,52
151..200;101..150;uniform;default_rebalance_with_withdrawal;1..33;5555;7321;7052;14759,48;0,0;100,0;2,92
151..200;101..150;uniform;default_rebalance_with_withdrawal;34..66;5555;7322;7053;14759,48;0,0;100,0;3,15
151..200;101..150;uniform;default_rebalance_with_withdrawal;67..99;5555;7323;7054;14759,48;0,0;100,0;2,4
151..200;101..150;uniform;contribution_rebalance;1..33;5555;7324;7055;14759,48;10946,91;25,83;1,47
151..200;101..150;uniform;contribution_rebalance;34..66;5555;7325;7056;14759,48;6856,25;53,54;1,5
151..200;101..150;uniform;contribution_rebalance;67..99;5555;7326;7057;14759,48;6573,65;55,46;3,15
151..200;101..150;uniform;contribution_rebalance;100..200;5555;7327;7058;14759,48;2817,65;80,9;1,69
151..200;151..200;uniform;default_rebalance;-;5556;7328;7059;16745,97;0,0;100,0;1,7
151..200;151..200;uniform;default_rebalance_with_deposit;1..33;5556;7329;7060;16745,97;0,0;100,0;1,61
151..200;151..200;uniform;default_rebalance_with_deposit;34..66;5556;7330;7061;16745,97;0,0;100,0;1,91
151..200;151..200;uniform;default_rebalance_with_deposit;67..99;5556;7331;7062;16745,97;0,0;100,0;3,26
151..200;151..200;uniform;default_rebalance_with_deposit;100..200;5556;7332;7063;16745,97;0,0;100,0;1,57
